x,y
5.436218141,6.715621526
6.922506898,9.527436304
8.764963713,12.31513229
9.917238897,14.12246227
10.42550984,15.12006512
10.62632667,15.62425436
10.74357958,15.85443327
11.02554452,16.03633637
11.3054111,16.16635437
11.26638575,16.25402768
10.92124582,16.12473789
10.6451439,15.7276966
10.36899077,15.17547942
9.760389549,14.71594267
8.937985936,13.81580588
8.773438652,12.14176145
8.425449047,10.12699209
7.059320996,7.53689828
5.512981067,4.890477582
5.603829979,3.521773282
7.68043145,3.510376265
10.47547903,4.59752958
11.63854502,5.616876221
11.66644843,5.98975078
11.78541646,5.991981651
12.25463556,6.124381561
12.68539703,6.731863374
12.865403,7.28419557
12.82291869,7.389137857
12.69510014,7.389067024
12.54302431,7.451494358
12.32682245,7.504438882
12.44482799,7.371573888
12.80836379,7.180529155
12.87039431,7.037990772
11.82528348,6.641259123
9.45116536,5.782824061
6.665326514,4.260654777
5.503178783,3.004261751
5.180222017,2.433275507
4.688244867,2.38141581
4.130166599,2.473670872
3.982890621,2.316514144
4.380700193,2.229089788
5.032973046,2.485198719
5.805763391,2.80591756
6.550688421,3.145671732
6.969349168,3.515549903
7.246768938,4.162492613
7.212913507,4.986841055
6.912848986,5.463311562
6.707933049,5.564187835
6.482952967,5.457101448
6.259216245,5.381229643
6.291885041,5.436283611
6.862376216,5.681353661
7.322851171,5.898769024
7.37733438,6.028861353
7.197304335,6.097231403
6.953120555,6.120848563
6.762747362,5.962688282
6.394214967,5.653351825
5.676591587,5.275121955
5.092893641,4.860126476
4.512650559,4.197958807
4.258861545,3.373508466
4.362064343,2.949680149
4.641193272,2.979632238
4.844444332,3.081244326
4.965348338,3.187746186
4.940083994,3.310464451
4.518686079,3.378110142
4.256332958,3.469665814
4.883587551,3.856386079
6.636495526,4.812346879
8.226192567,5.922381445
9.140527849,7.004874678
9.633007502,7.824038121
9.872293477,8.045933737
9.864903282,8.10615489
10.50076324,8.699207543
11.35259082,9.503053036
11.98393357,9.89390573
12.01892775,9.881324757
11.78857673,10.09579856
11.66752014,10.48103453
11.71803184,10.85813636
11.86567269,11.17677455
11.96530956,11.51355317
11.21373267,11.42757578
9.20332689,10.70025196
7.380141177,10.06173165
6.151034462,9.408081108
5.328499114,8.714559158
4.970240394,8.451279059
4.842731505,8.305115019
4.19910326,7.685249912
3.234196466,6.918947585
2.476181914,6.515865302
2.137140138,6.455965443
2.105587682,6.448067433
2.082699007,6.214284173
1.912251375,5.793685689
1.644556604,5.190895431
1.338520245,4.433971764
1.148178592,3.678051373
1.162177988,2.940218925
1.31784277,2.223385069
2.336203935,2.408850955
4.156428898,3.553279592
5.280638777,4.36996671
5.498955299,4.604365901
5.423471987,4.826485954
5.977702781,5.468830317
6.73174468,6.13925848
7.224309668,6.422626931
7.378783888,6.214451203
7.42439224,6.014919494
7.75092781,6.242221514
8.741718104,7.252819868
10.50533804,9.018809609
11.99627174,10.47408237
12.38551158,10.83991795
12.12967018,10.74353966
11.0780495,10.31820871
9.515095382,9.599121361
8.682783199,9.036520719
8.428608228,8.927060377
8.791704172,9.307795486
9.749884656,9.974445271
11.16068278,10.87233461
12.80198671,11.96997713
13.81541101,12.9558387
14.19318315,13.62036295
14.16905076,13.57039514
13.49412206,12.5758684
